68313504,018642432805,018683432944,018745433139,018808433333,018871433527,018933433721,018996433915,019059434109,019121434303,019184434498,019247434692,019309434886,019372435080,019435435274,019498435468,019560435663,019623435857,019686436051,019748436245,019811436439,019872436628,019933436817,019995437005,020056437194,020117437383,020178437571,020239437760,020301437949,020362438138,020423438326,020484438515,020546438704,020607438892,020668439081,020729439270,020790439459,020852439647,020913439836,020974440025,021035440213,021096440402,021158440591,021219440779,021280440968,021336441153,021391441339,021442441508,021493441678,021544441848,021595442018,021646442188,021698442358,021739442526,021780442694,021821442863,021862443031,021904443200,021945443368,021974443570,022002443772,022031443975,022060444177,022088444379,022108444579,022127444780,022146444981,022165445181,022184445382,022203445582,022222445783,022224445977,022226446170,022228446363,022229446557,022231446750,022233446944,022235447137,022237447331,022239447524,022241447718,022256447821,022272447925,022282448038,022291448150,022302448268,022312448387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68523383,021022431900,020919431939,020827431973,020656432037,020486432100,020316432164,020146432227,019976432291,019806432354,019635432418,019465432482,019295432545,019125432609,018955432672,018784432736,018642432805,018513432854,018387432896,018262432939,018137432981,018001433027,017866433073,017716433155,017566433237,017416433320,017266433402,017116433484,016966433566,016816433649,016666433731,016516433813,016398433878,016258433955,016111434036,015963434118,015816434200,015669434281,015521434363,015374434444,015227434526,015079434608,014932434689,014785434771,014669434835,014582434882,014446434956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98647170,032513420094,032671420021,032829419949,032987419876,033145419804,033303419731,033462419659,033620419586,033778419514,033936419441,034094419368,034252419296,034410419223,034568419151,034726419078,034885419006,035043418933,035201418861,035284418823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799670,022714437090,022652436900,022591436711,022529436521,022467436332,022405436142,022344435953,022282435763,022220435573,022158435384,022097435195,022063435093,022029434992,021970434816,021909434630,021849434444,021788434258,021728434072,021668433887,021607433701,021547433515,021486433329,021426433143,021366432957,021305432771,021245432586,021184432400,021124432214,021064432028,021022431900,020984431787,020947431673,020884431478,020822431283,020759431087,020697430892,020634430696,020572430501,020509430306,020447430110,020384429915,020322429720,020260429524,020197429329,020135429134,020072428938,020010428743,019947428548,019885428352,019822428157,019760427961,019698427766,019635427571,019573427375,019510427180,019448426985,019385426789,019323426594,019293426500,019281426461,019268426417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799671,022859437535,022811437386,022762437238,022714437090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799684,034880442325,034714442400,034547442476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799685,027427445640,027283445705,027140445769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799687,027140445769,026972445845,026804445921,026636445997,026468446073,026300446149,026133446225,025965446301,025817446364,025763446387,025672446426,025546446480,025405446540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799688,034547442476,034423442530,034300442585,034176442640,034015442712,033854442784,033693442855,033532442927,033371442998,033210443070,033049443141,032888443213,032727443284,032566443356,032405443427,032244443499,032083443571,031922443642,031761443714,031600443785,031439443857,031278443928,031117444000,030956444071,030890444101,030821444132,030656444205,030491444278,030327444351,030162444424,029998444497,029960444514,029851444563,029742444611,029696444631,029542444700,029389444768,029235444836,029081444905,028927444973,028774445041,028620445110,028466445178,028318445244,028169445310,028021445376,027872445442,027724445508,027575445574,027427445640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130799693,018138439767,018183439948,018229440128,018274440309,018320440490,018366440670,018411440851,018457441032,018498441195,018539441359,018580441523,018622441686,018663441850,018703442019,018743442188,018783442358,018809442466,018836442574,018874442745,018914442948,018955443151,018995443354,019036443557,019076443760,019117443963,019157444166,019198444369,019238444572,019279444775,019319444978,019345445165,019371445352,019397445539,019423445726,019448445913,019474446100,019495446264,019515446428,019536446592,019566446797,019595447003,019625447208,019649447403,019673447598,019697447793,019721447988,019745448183,019769448378,019793448573,019817448768,019870448958,019893449060,019917449162,019940449305,019963449449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
